"Path","Size","MD5"
"outputs/adjudication_candidates.csv","198","4E7F84534F8FBA5C44BEEFA26C54D787"
"outputs/adjudication_instructions.md","339","30B630296D66B45D69D87F37F932835F"
"outputs/adjudication_log.csv","68","A987096F663970BA0DDEF918CC3936B3"
"outputs/adjudication_log_template.csv","68","A987096F663970BA0DDEF918CC3936B3"
"outputs/adjudication_template.csv","860987","0FB3A9F25BE28028DC477300A1C2D0BA"
"outputs/cluster_to_motif_mapping_parseA.csv","70","A163B952FB5788AFD8D42E26A0414D6E"
"outputs/cluster_to_motif_mapping_parseB.csv","73","FC020B37064F0F01F1D3BC41777F2290"
"outputs/embeddings/embedding_8d.npy","320128","C1E1A925FC4957838869988B850318C0"
"outputs/embeddings/embedding_8d_06BAAAD9.npy","320128","30EF163C42CC31078C5EA410395D205C"
"outputs/embeddings/embeddings_seed42_20260201_115832.npy","720128","ABB6E7542ED23C7EA181ABBA839AF66F"
"outputs/embeddings/landmark_coords.npy","51328","9FC272D6DE3571358C078FC30349191A"
"outputs/embeddings/landmark_coords_30EDE143.npy","51328","5A3AF5A7988FD0E58402B3C53A660C5D"
"outputs/embeddings/landmark_indices.npy","6528","8EE69EFEF7F04986ADC4C671FF58BCB6"
"outputs/embeddings/landmark_indices_17773D15.npy","6528","7778B843F6F4402E4084161821D3A09F"
"outputs/figures/onepanel_figure.png","85143","A5ADDA115F9A8CF21E876C2125A6D104"
"outputs/labels_per_perm.csv","850958","2CF8C435F2B4F9030E197BA00FA55DC5"
"outputs/motif_stability_per_permutation_raw.csv","67138","F1697CF43B1F4169F851FBC8E0187F2D"
"outputs/order_invariant_multilabel_flags.csv","552","538F5B64ADDFF83D6773B2145CB24229"
"outputs/permutation_label_table.csv","13190","2FC1397EECC5E2E2CC3D27B6B803ECC7"
"outputs/README.md","53","7B31A5ABB09B414170384317707AD292"
"outputs/segmentation_agreement_mapped.csv","232","2C1E777DA601E8659DB7BFB76DD92E49"
"outputs/stability_bootstrap_samples.csv","4808","2A9360073FF8771000287EC6E73656BC"
"outputs/stability_bootstrap_summary.csv","81","1F3893C27A6FC96AC0CF8FF794086FDE"
"outputs/stability_summary.csv","99","3D7571850259F096A1BC7B7B02DA3470"
"S-1_revised_20260210.txt","10709","6AAAF0E849308CE59F4AF7D519146076"
"supplement/artifacts/adjudication/adjudication_candidates.csv","198","4E7F84534F8FBA5C44BEEFA26C54D787"
"supplement/artifacts/adjudication/adjudication_instructions.md","339","30B630296D66B45D69D87F37F932835F"
"supplement/artifacts/adjudication/adjudication_log.csv","68","A987096F663970BA0DDEF918CC3936B3"
"supplement/artifacts/all_motifs_520.csv","16772","3696B06CFA70696694241CCCF9B1FB62"
"supplement/artifacts/order_invariant_multilabel_flags.csv","552","538F5B64ADDFF83D6773B2145CB24229"
"supplement/artifacts/sensitivity_full_merged.csv","5433","016D8147DA6F16A64B6211BB76B2DC4E"
"supplement/artifacts/stability_tests/stability_bootstrap_samples.csv","4808","2A9360073FF8771000287EC6E73656BC"
"supplement/artifacts/stability_tests/stability_plots/rank_concordance.png","35806","88CC287C3F879812FA9A11A08A76636D"
"supplement/artifacts/stability_tests/stability_summary.csv","99","3D7571850259F096A1BC7B7B02DA3470"
"supplement/diagnostics_per_exemplar.csv","775","F00BC094031ACCCA69699350882E860E"
