perm_pos,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17
0,0.9411764705882353,0.5882352941176471,0.7058823529411765,1.0,0.11764705882352941,0.23529411764705882,0.4117647058823529,0.29411764705882354,0.8823529411764706,0.17647058823529413,0.47058823529411764,0.6470588235294118,0.058823529411764705,0.0,0.7647058823529411,0.5294117647058824,0.35294117647058826,0.8235294117647058
1,0.5882352941176471,0.29411764705882354,0.5294117647058824,0.8235294117647058,0.6470588235294118,0.4117647058823529,0.9411764705882353,0.7647058823529411,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.0,0.35294117647058826,0.8823529411764706,0.058823529411764705,0.23529411764705882,0.47058823529411764,1.0
2,0.5882352941176471,0.4117647058823529,0.17647058823529413,0.9411764705882353,0.6470588235294118,0.7647058823529411,0.11764705882352941,0.5294117647058824,0.47058823529411764,0.7058823529411765,0.29411764705882354,0.8823529411764706,1.0,0.8235294117647058,0.0,0.23529411764705882,0.35294117647058826,0.058823529411764705
3,0.0,0.8823529411764706,0.9411764705882353,0.7647058823529411,0.6470588235294118,0.11764705882352941,1.0,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.8235294117647058,0.058823529411764705,0.7058823529411765,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.35294117647058826,0.4117647058823529
4,0.0,0.17647058823529413,0.8823529411764706,0.5882352941176471,0.23529411764705882,0.29411764705882354,1.0,0.47058823529411764,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.11764705882352941,0.5294117647058824,0.058823529411764705,0.35294117647058826,0.7058823529411765,0.6470588235294118,0.4117647058823529
5,0.11764705882352941,1.0,0.0,0.5294117647058824,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.9411764705882353,0.35294117647058826,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.8235294117647058,0.47058823529411764,0.23529411764705882,0.5882352941176471,0.29411764705882354,0.8823529411764706
6,0.23529411764705882,0.0,0.4117647058823529,0.47058823529411764,1.0,0.5294117647058824,0.7058823529411765,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.17647058823529413,0.8235294117647058,0.5882352941176471,0.6470588235294118,0.11764705882352941,0.29411764705882354,0.058823529411764705,0.35294117647058826
7,0.4117647058823529,0.058823529411764705,0.8823529411764706,0.11764705882352941,0.5294117647058824,1.0,0.8235294117647058,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.47058823529411764,0.23529411764705882,0.0,0.9411764705882353,0.7647058823529411,0.17647058823529413,0.29411764705882354,0.35294117647058826
8,0.7058823529411765,0.4117647058823529,0.8235294117647058,1.0,0.5882352941176471,0.29411764705882354,0.35294117647058826,0.7647058823529411,0.5294117647058824,0.9411764705882353,0.0,0.6470588235294118,0.11764705882352941,0.8823529411764706,0.47058823529411764,0.17647058823529413,0.23529411764705882,0.058823529411764705
9,0.8823529411764706,0.5882352941176471,0.0,0.4117647058823529,0.47058823529411764,1.0,0.17647058823529413,0.7058823529411765,0.23529411764705882,0.8235294117647058,0.29411764705882354,0.35294117647058826,0.11764705882352941,0.5294117647058824,0.058823529411764705,0.6470588235294118,0.9411764705882353,0.7647058823529411
10,0.0,0.23529411764705882,1.0,0.4117647058823529,0.9411764705882353,0.29411764705882354,0.47058823529411764,0.7647058823529411,0.7058823529411765,0.11764705882352941,0.8235294117647058,0.17647058823529413,0.5294117647058824,0.058823529411764705,0.35294117647058826,0.5882352941176471,0.8823529411764706,0.6470588235294118
11,0.5294117647058824,0.8235294117647058,0.11764705882352941,0.7647058823529411,0.35294117647058826,0.5882352941176471,0.17647058823529413,0.058823529411764705,0.47058823529411764,0.23529411764705882,0.0,0.29411764705882354,0.4117647058823529,0.7058823529411765,1.0,0.6470588235294118,0.9411764705882353,0.8823529411764706
12,0.11764705882352941,0.8823529411764706,0.9411764705882353,0.5882352941176471,0.5294117647058824,0.7647058823529411,0.23529411764705882,1.0,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.17647058823529413,0.29411764705882354,0.8235294117647058,0.058823529411764705,0.7058823529411765,0.0,0.47058823529411764
13,0.4117647058823529,0.8235294117647058,0.058823529411764705,0.8823529411764706,0.17647058823529413,0.6470588235294118,0.9411764705882353,0.47058823529411764,0.23529411764705882,0.29411764705882354,0.7647058823529411,0.35294117647058826,0.5882352941176471,1.0,0.11764705882352941,0.0,0.7058823529411765,0.5294117647058824
14,0.29411764705882354,0.35294117647058826,0.6470588235294118,1.0,0.47058823529411764,0.17647058823529413,0.8823529411764706,0.9411764705882353,0.7647058823529411,0.058823529411764705,0.0,0.5294117647058824,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.5882352941176471,0.7058823529411765,0.8235294117647058
15,0.5294117647058824,0.11764705882352941,1.0,0.6470588235294118,0.058823529411764705,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.29411764705882354,0.0,0.7058823529411765,0.5882352941176471,0.17647058823529413,0.7647058823529411,0.47058823529411764
16,0.6470588235294118,0.0,0.11764705882352941,0.8235294117647058,0.8823529411764706,0.4117647058823529,0.29411764705882354,0.058823529411764705,0.5294117647058824,0.5882352941176471,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.23529411764705882,0.7058823529411765,0.9411764705882353,0.7647058823529411,1.0
17,0.17647058823529413,1.0,0.8823529411764706,0.5294117647058824,0.35294117647058826,0.0,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.6470588235294118,0.4117647058823529,0.058823529411764705,0.5882352941176471,0.8235294117647058,0.11764705882352941,0.7647058823529411,0.9411764705882353,0.7058823529411765
18,0.058823529411764705,0.35294117647058826,0.23529411764705882,0.7058823529411765,0.7647058823529411,0.5882352941176471,0.4117647058823529,0.11764705882352941,0.0,0.17647058823529413,0.8823529411764706,0.29411764705882354,0.5294117647058824,1.0,0.8235294117647058,0.6470588235294118,0.9411764705882353,0.47058823529411764
19,1.0,0.8235294117647058,0.5294117647058824,0.8823529411764706,0.5882352941176471,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.7647058823529411,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.6470588235294118,0.9411764705882353,0.7058823529411765,0.4117647058823529,0.0
20,0.9411764705882353,0.7058823529411765,0.6470588235294118,0.058823529411764705,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.35294117647058826,0.17647058823529413,0.8823529411764706,0.7647058823529411,0.4117647058823529,0.5294117647058824,0.23529411764705882,0.8235294117647058,0.47058823529411764,1.0,0.0
21,0.7058823529411765,0.6470588235294118,0.29411764705882354,0.0,0.8235294117647058,0.17647058823529413,1.0,0.35294117647058826,0.9411764705882353,0.11764705882352941,0.5882352941176471,0.23529411764705882,0.4117647058823529,0.7647058823529411,0.47058823529411764,0.8823529411764706,0.058823529411764705,0.5294117647058824
22,0.8823529411764706,0.8235294117647058,0.6470588235294118,0.35294117647058826,0.058823529411764705,0.47058823529411764,0.0,0.17647058823529413,0.5882352941176471,0.23529411764705882,0.11764705882352941,0.7058823529411765,0.4117647058823529,0.9411764705882353,0.7647058823529411,0.5294117647058824,0.29411764705882354,1.0
23,0.11764705882352941,0.7647058823529411,0.47058823529411764,0.4117647058823529,0.0,0.7058823529411765,0.9411764705882353,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.8235294117647058,1.0,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.17647058823529413,0.5882352941176471,0.058823529411764705
24,0.47058823529411764,0.5882352941176471,0.7647058823529411,0.23529411764705882,0.8235294117647058,0.11764705882352941,0.5294117647058824,0.8823529411764706,0.058823529411764705,0.29411764705882354,1.0,0.6470588235294118,0.7058823529411765,0.9411764705882353,0.0,0.4117647058823529,0.17647058823529413,0.35294117647058826
25,0.9411764705882353,0.6470588235294118,0.23529411764705882,0.11764705882352941,0.7058823529411765,0.7647058823529411,0.8823529411764706,1.0,0.47058823529411764,0.35294117647058826,0.29411764705882354,0.058823529411764705,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.8235294117647058,0.17647058823529413,0.0
26,0.11764705882352941,0.8823529411764706,0.17647058823529413,0.35294117647058826,0.29411764705882354,1.0,0.7058823529411765,0.23529411764705882,0.9411764705882353,0.7647058823529411,0.058823529411764705,0.5882352941176471,0.5294117647058824,0.0,0.4117647058823529,0.8235294117647058,0.47058823529411764,0.6470588235294118
27,1.0,0.7058823529411765,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.8235294117647058,0.8823529411764706,0.058823529411764705,0.35294117647058826,0.5294117647058824,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.17647058823529413,0.5882352941176471,0.7647058823529411,0.9411764705882353,0.0
28,0.23529411764705882,0.11764705882352941,0.7647058823529411,0.7058823529411765,0.4117647058823529,0.058823529411764705,0.6470588235294118,0.29411764705882354,0.8235294117647058,0.8823529411764706,1.0,0.5294117647058824,0.9411764705882353,0.47058823529411764,0.17647058823529413,0.0,0.35294117647058826,0.5882352941176471
29,0.11764705882352941,0.4117647058823529,0.47058823529411764,0.6470588235294118,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.8235294117647058,0.5882352941176471,0.0,0.9411764705882353,0.058823529411764705,0.35294117647058826,1.0,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.5294117647058824
30,0.7647058823529411,0.47058823529411764,0.8235294117647058,0.6470588235294118,0.23529411764705882,0.29411764705882354,0.8823529411764706,0.9411764705882353,0.17647058823529413,1.0,0.4117647058823529,0.35294117647058826,0.0,0.7058823529411765,0.11764705882352941,0.058823529411764705,0.5882352941176471,0.5294117647058824
31,0.6470588235294118,0.5882352941176471,0.8235294117647058,0.47058823529411764,0.23529411764705882,0.29411764705882354,0.5294117647058824,0.8823529411764706,0.17647058823529413,0.35294117647058826,0.7647058823529411,0.7058823529411765,0.9411764705882353,0.0,0.4117647058823529,1.0,0.11764705882352941,0.058823529411764705
32,0.0,0.058823529411764705,0.11764705882352941,1.0,0.8823529411764706,0.47058823529411764,0.23529411764705882,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.7058823529411765,0.5882352941176471,0.8235294117647058,0.4117647058823529,0.9411764705882353,0.35294117647058826,0.29411764705882354,0.17647058823529413
33,0.23529411764705882,0.058823529411764705,0.35294117647058826,0.7058823529411765,0.8235294117647058,1.0,0.17647058823529413,0.47058823529411764,0.5294117647058824,0.29411764705882354,0.6470588235294118,0.11764705882352941,0.7647058823529411,0.4117647058823529,0.8823529411764706,0.9411764705882353,0.5882352941176471,0.0
34,0.058823529411764705,0.47058823529411764,0.8823529411764706,0.7058823529411765,0.23529411764705882,0.0,0.6470588235294118,0.17647058823529413,0.11764705882352941,0.35294117647058826,1.0,0.4117647058823529,0.5294117647058824,0.5882352941176471,0.7647058823529411,0.8235294117647058,0.29411764705882354,0.9411764705882353
35,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.17647058823529413,0.0,0.23529411764705882,1.0,0.4117647058823529,0.058823529411764705,0.7058823529411765,0.35294117647058826,0.6470588235294118,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.5294117647058824,0.47058823529411764
36,0.7058823529411765,0.35294117647058826,0.47058823529411764,0.058823529411764705,0.29411764705882354,0.5882352941176471,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.11764705882352941,0.23529411764705882,0.5294117647058824,0.17647058823529413,0.4117647058823529,0.6470588235294118,1.0,0.7647058823529411,0.0
37,0.6470588235294118,0.11764705882352941,1.0,0.4117647058823529,0.8823529411764706,0.47058823529411764,0.5294117647058824,0.7647058823529411,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,0.29411764705882354,0.9411764705882353,0.35294117647058826,0.5882352941176471,0.8235294117647058,0.7058823529411765
38,0.8235294117647058,0.47058823529411764,0.9411764705882353,0.5294117647058824,0.17647058823529413,0.5882352941176471,0.35294117647058826,0.29411764705882354,1.0,0.0,0.11764705882352941,0.7647058823529411,0.23529411764705882,0.4117647058823529,0.6470588235294118,0.8823529411764706,0.058823529411764705,0.7058823529411765
39,0.23529411764705882,0.7647058823529411,0.4117647058823529,0.6470588235294118,0.9411764705882353,0.47058823529411764,0.29411764705882354,1.0,0.058823529411764705,0.7058823529411765,0.8235294117647058,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.0,0.8823529411764706,0.5294117647058824,0.5882352941176471
40,1.0,0.6470588235294118,0.11764705882352941,0.7058823529411765,0.4117647058823529,0.29411764705882354,0.8235294117647058,0.23529411764705882,0.0,0.9411764705882353,0.058823529411764705,0.7647058823529411,0.8823529411764706,0.47058823529411764,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.17647058823529413
