perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives
0,0.8214285714285714,44.662393932262596,4,7,2,0.17857142857142858,0.11590280084167803,0.0,0.0,0.0,0.0
1,0.32142857142857145,18.066548255189215,2,5,2,0.6785714285714286,0.42812200841063497,0.0,0.0,0.0,0.0
2,0.2857142857142857,16.59303438064087,3,4,2,0.7142857142857143,0.4513076997197505,0.0,0.0,0.0,0.0
3,0.5714285714285714,34.98670737178748,3,6,1,0.42857142857142855,0.2682580724324224,0.0,0.0,0.0,0.0
4,0.5,24.81999887613267,4,6,1,0.5,0.3154918674442604,0.0,0.0,0.0,0.0
5,0.2857142857142857,17.687733559253687,3,6,3,0.7142857142857143,0.4499758433300032,0.0,0.0,0.0,0.0
6,0.35714285714285715,23.307041340253473,3,5,2,0.6428571428571429,0.4021704226171997,0.0,0.0,0.0,0.0
7,0.4642857142857143,25.104258280030834,3,6,3,0.5357142857142857,0.3367517419132119,0.0,0.0,0.0,0.0
8,0.6071428571428571,45.90373577249764,2,5,3,0.39285714285714285,0.2442423910647884,0.0,0.0,0.0,0.0
9,0.4642857142857143,24.443876333655624,3,6,1,0.5357142857142857,0.33714944645384826,0.0,0.0,0.0,0.0
10,0.5,27.922269997315276,4,7,2,0.5,0.3138301730824423,0.0,0.0,0.0,0.0
11,0.5,33.59948779047663,4,5,2,0.5,0.3115608647856949,0.0,0.0,0.0,0.0
12,0.5714285714285714,34.71487331479307,3,5,2,0.42857142857142855,0.26834267287436986,0.0,0.0,0.0,0.0
13,0.5714285714285714,38.13925558684145,3,6,2,0.42857142857142855,0.26736277558541643,0.0,0.0,0.0,0.0
14,0.4642857142857143,25.108851729628963,3,6,2,0.5357142857142857,0.336749046037804,0.0,0.0,0.0,0.0
15,0.35714285714285715,20.544362327887665,4,5,2,0.6428571428571429,0.4042806277536706,0.0,0.0,0.0,0.0
16,0.32142857142857145,16.19152538731301,2,5,3,0.6785714285714286,0.4304101351178058,0.0,0.0,0.0,0.0
17,0.5714285714285714,41.45915492122031,3,6,2,0.42857142857142855,0.2665636758271237,0.0,0.0,0.0,0.0
18,0.5,29.932110373652026,5,5,1,0.5,0.3129315457357451,0.0,0.0,0.0,0.0
19,0.5,27.545972888626988,4,7,1,0.5,0.3140124844075418,0.0,0.0,0.0,0.0
20,0.2857142857142857,17.418772258434736,3,5,3,0.7142857142857143,0.45028840266653003,0.0,0.0,0.0,0.0
